value;value_err;distance_px;distance_pc
750.9387;90;0;0
705.7957;47.0482;1;0.11877924
730.65;55.5631;1;0.11877924
615.9898;40.7471;1;0.11877924
764.3234;67.998;1;0.11877924
527.3738;32.1275;2;0.237558481
638.6099;40.1478;1.414213562;0.167979213
589.7911;36.8042;1.414213562;0.167979213
527.8422;33.4775;2;0.237558481
450.6168;26.6867;2;0.237558481
671.191;53.972;1.414213562;0.167979213
618.6627;37.4464;1.414213562;0.167979213
675.727;42.3781;2;0.237558481
370.7532;33.2251;3;0.356337721
406.5092;32.6937;2.828427125;0.335958425
479.3698;32.1039;2.236067977;0.265598456
474.2861;32.9365;2.236067977;0.265598456
413.4621;33.9514;2.828427125;0.335958425
470.2904;31.2637;2.236067977;0.265598456
457.6627;30.6838;2.236067977;0.265598456
388.7761;28.8544;3;0.356337721
346.8022;25.0223;3;0.356337721
517.6187;31.8463;2.236067977;0.265598456
479.6995;25.1372;2.236067977;0.265598456
478.324;27.2167;2.828427125;0.335958425
598.3691;37.8655;2.236067977;0.265598456
622.6117;31.0986;2.236067977;0.265598456
530.164;25.4709;2.828427125;0.335958425
569.0366;28.8325;3;0.356337721
231.1584;44.0179;4;0.475116961
326.2319;43.2229;3.605551275;0.428264641
361.2491;34.7079;3.16227766;0.375612938
392.1623;38.037;3.16227766;0.375612938
311.2437;41.966;3.605551275;0.428264641
301.5818;37.5447;3.605551275;0.428264641
315.943;38.7912;3.605551275;0.428264641
340.4092;31.2122;3.16227766;0.375612938
341.3224;31.218;3.16227766;0.375612938
282.5453;35.9859;4;0.475116961
276.8282;29.6677;4;0.475116961
437.1418;28.6168;3.16227766;0.375612938
384.1356;23.1772;3.16227766;0.375612938
413.7942;26.6747;3.605551275;0.428264641
439.9445;25.6179;3.605551275;0.428264641
439.2608;25.4199;3.605551275;0.428264641
524.2702;28.3425;3.16227766;0.375612938
570.2325;26.551;3.16227766;0.375612938
523.4863;25.7304;3.605551275;0.428264641
459.9858;24.1919;4;0.475116961
224.8343;28.6384;5;0.593896201
211.5219;25.6303;5;0.593896201
282.2069;26.0785;4.472135955;0.531196911
373.8479;28.9226;4.123105626;0.489739354
289.6919;24.5429;4.123105626;0.489739354
296.7658;26.9865;4.472135955;0.531196911
306.0607;32.8067;5;0.593896201
233.1196;32.6524;5;0.593896201
297.414;27.2248;4.242640687;0.503937638
356.6088;31.6279;4.242640687;0.503937638
316.4497;42.4289;5;0.593896201
278.0148;43.7993;4.472135955;0.531196911
320.4108;32.3613;4.472135955;0.531196911
360.3883;36.9491;4.123105626;0.489739354
353.51;25.2324;4.123105626;0.489739354
299.5297;31.9289;5;0.593896201
313.9756;24.3353;5;0.593896201
467.6651;30.2462;4.123105626;0.489739354
433.0097;21.082;4.123105626;0.489739354
442.0387;27.8049;4.472135955;0.531196911
428.8902;21.2485;4.472135955;0.531196911
407.9256;26.4499;5;0.593896201
498.9652;25.8814;4.242640687;0.503937638
531.0106;24.762;4.242640687;0.503937638
404.4157;23.4866;5;0.593896201
431.0575;23.9689;5;0.593896201
511.2341;25.9706;4.472135955;0.531196911
609.2948;29.686;4.123105626;0.489739354
697.2197;31.7203;4.123105626;0.489739354
587.6121;26.6844;4.472135955;0.531196911
465.4533;25.8667;5;0.593896201
539.0853;29.6114;5;0.593896201
100.1988;41.4871;6;0.712675442
171.4694;29.3873;5.830951895;0.692596036
247.8076;28.2877;5.385164807;0.639645785
250.3085;31.6698;5.099019514;0.605657664
205.7081;26.5116;5.099019514;0.605657664
204.2537;28.9808;5.385164807;0.639645785
150;-10;5.830951895;0.692596036
143.9786;33.8766;5.656854249;0.67191685
150;-10;5.656854249;0.67191685
143.7;-1;5.830951895;0.692596036
262.5352;47.4739;5.830951895;0.692596036
195.9252;38.2645;5.385164807;0.639645785
226.2583;35.1393;5.385164807;0.639645785
243.5928;33.5093;5.099019514;0.605657664
242.2018;26.3507;5.099019514;0.605657664
202.0852;31.5604;6;0.712675442
242.6093;26.8019;6;0.712675442
322.4853;29.3031;5.099019514;0.605657664
341.4751;23.091;5.099019514;0.605657664
303.7442;28.8027;5.385164807;0.639645785
327.3689;21.7889;5.385164807;0.639645785
279.0065;28.5454;5.830951895;0.692596036
270.6875;23.3254;5.830951895;0.692596036
343.432;26.9236;5.656854249;0.67191685
339.1769;27.0522;5.656854249;0.67191685
374.4674;26.3871;5.830951895;0.692596036
423.6945;26.1287;5.385164807;0.639645785
470.1372;28.0052;5.099019514;0.605657664
550.4645;30.1028;5.099019514;0.605657664
462.4081;28.4367;5.385164807;0.639645785
342.2247;27.8967;5.830951895;0.692596036
405.3871;32.9159;6;0.712675442
264;-1;7;0.831454682
168.5746;37.9517;6.708203932;0.796795367
195.8719;33.2602;6.32455532;0.751225876
147.1604;35.8398;6.08276253;0.722505912
109.9759;39.0251;6.08276253;0.722505912
141.4049;39.3047;6.32455532;0.751225876
150;-10;6.708203932;0.796795367
79.7039;53.0894;6.403124237;0.760558232
150;-10;6.403124237;0.760558232
141.5926;47.2136;6.403124237;0.760558232
329.5167;61.6282;6.403124237;0.760558232
150;-10;6.708203932;0.796795367
147.4891;56.1683;6.708203932;0.796795367
168.5975;43.1279;6.32455532;0.751225876
167.4073;38.2496;6.32455532;0.751225876
147.7252;34.3785;6.08276253;0.722505912
189.5397;29.9316;6.08276253;0.722505912
137;-1;7;0.831454682
233.7876;33.408;7;0.831454682
150;-10;6.08276253;0.722505912
264.7874;25.2527;6.08276253;0.722505912
214.9566;33.2872;6.32455532;0.751225876
230.7408;24.3278;6.32455532;0.751225876
193.0877;30.1098;6.708203932;0.796795367
199.2912;27.0339;6.708203932;0.796795367
265.9973;30.5003;6.403124237;0.760558232
235.6156;29.1058;6.403124237;0.760558232
307.5046;31.1467;6.403124237;0.760558232
262.1023;30.4089;6.403124237;0.760558232
312.9402;32.4795;6.708203932;0.796795367
343.9673;29.0576;6.32455532;0.751225876
365.894;28.447;6.08276253;0.722505912
425.2;35.5901;6.08276253;0.722505912
335.6409;33.8706;6.32455532;0.751225876
224.6239;33.0675;6.708203932;0.796795367
286.5365;36.8381;7;0.831454682
150;-10;8;0.950233922
158.0634;52.9855;7.615773106;0.904595744
165.4419;48.142;7.280109889;0.864725922
107.8742;-1;7.071067812;0.839896063
153.2637;-1;7.071067812;0.839896063
122.2373;58.68;7.280109889;0.864725922
150;-10;7.615773106;0.904595744
150;-10;7.810249676;0.927695523
81.6223;60.6883;7.211102551;0.856529283
150;-10;7.211102551;0.856529283
150;-10;7.810249676;0.927695523
150;-10;7.810249676;0.927695523
150;-10;7.071067812;0.839896063
150;-10;7.071067812;0.839896063
150;-10;7.810249676;0.927695523
150;-10;7.211102551;0.856529283
96.2941;73.6095;7.211102551;0.856529283
150;-10;7.615773106;0.904595744
150;-10;7.615773106;0.904595744
172.0097;58.6384;7.280109889;0.864725922
165.8189;43.31;7.280109889;0.864725922
149.2307;41.1716;7.071067812;0.839896063
196.7693;35.3959;7.071067812;0.839896063
170.7115;46.1805;8;0.950233922
209.0682;46.8373;8;0.950233922
150;-10;7.071067812;0.839896063
171.2848;32.1288;7.071067812;0.839896063
168.9816;33.8617;7.280109889;0.864725922
322.4463;-1;7.280109889;0.864725922
75.3462;45.4096;7.615773106;0.904595744
175.8277;36.5879;7.615773106;0.904595744
184.4514;31.477;7.211102551;0.856529283
182.1883;36.2532;7.211102551;0.856529283
233.0859;39.3982;7.810249676;0.927695523
251.4367;35.5721;7.071067812;0.839896063
202.7646;38.3721;7.071067812;0.839896063
150;-10;7.810249676;0.927695523
228.7149;39.7927;7.810249676;0.927695523
229.5908;36.5772;7.211102551;0.856529283
196.4259;40.6396;7.211102551;0.856529283
150;-10;7.810249676;0.927695523
213.544;40.7155;7.615773106;0.904595744
265.8704;33.5555;7.280109889;0.864725922
266.1499;30.664;7.071067812;0.839896063
292.3955;44.9558;7.071067812;0.839896063
208.1801;48.2697;7.280109889;0.864725922
155.9212;50.8097;7.615773106;0.904595744
150;-10;8;0.950233922
150;-10;9;1.069013163
150;-10;8.94427191;1.062393822
143.0795;62.4162;8.544003745;1.014850274
214.3841;65.8626;8.246211251;0.979478708
199.8978;62.6374;8.062257748;0.95762885
150;-10;8.062257748;0.95762885
86.5755;72.4302;8.246211251;0.979478708
150;-10;8.544003745;1.014850274
150;-10;8.94427191;1.062393822
150;-10;8.602325267;1.02177766
150;-10;8.062257748;0.95762885
150;-10;8.062257748;0.95762885
150;-10;8.602325267;1.02177766
150;-10;8.485281374;1.007875275
150;-10;8.485281374;1.007875275
150;-10;8.602325267;1.02177766
150;-10;8.602325267;1.02177766
150;-10;8.94427191;1.062393822
150;-10;8.062257748;0.95762885
150;-10;8.062257748;0.95762885
150;-10;8.94427191;1.062393822
150;-10;8.544003745;1.014850274
150;-10;8.544003745;1.014850274
267.4387;67.3168;8.246211251;0.979478708
150;-10;8.246211251;0.979478708
266.2362;50.5481;8.062257748;0.95762885
152.2906;50.6633;8.062257748;0.95762885
231.7777;54.9681;9;1.069013163
94.1542;86.5881;9;1.069013163
141.6454;56.976;8.062257748;0.95762885
146.2585;47.2271;8.062257748;0.95762885
78.1843;56.8238;8.246211251;0.979478708
150;-10;8.246211251;0.979478708
325.8911;-1;8.544003745;1.014850274
150;-10;8.544003745;1.014850274
188;-1;8.94427191;1.062393822
63.4659;61.2526;8.062257748;0.95762885
150;-10;8.062257748;0.95762885
150;-10;8.94427191;1.062393822
150;-10;8.602325267;1.02177766
150;-10;8.602325267;1.02177766
179.7581;41.1316;8.485281374;1.007875275
150;-10;8.485281374;1.007875275
197.1304;50.0599;8.602325267;1.02177766
179.7557;50.079;8.062257748;0.95762885
182.3619;68.029;8.062257748;0.95762885
150;-10;8.602325267;1.02177766
116.1286;68.6625;8.94427191;1.062393822
148.5679;43.051;8.544003745;1.014850274
166.1511;35.3498;8.246211251;0.979478708
217.7592;36.3972;8.062257748;0.95762885
150;-10;8.062257748;0.95762885
150;-10;8.246211251;0.979478708
150;-10;8.544003745;1.014850274
150;-10;8.94427191;1.062393822
150;-10;9;1.069013163
150;-10;10;1.187792403
150;-10;9.848857802;1.169839847
166.4224;56.0313;9.486832981;1.126838814
196.5742;66.7563;9.219544457;1.095090487
150;-10;9.055385138;1.075591767
150;-10;9.055385138;1.075591767
150;-10;9.219544457;1.095090487
150;-10;9.486832981;1.126838814
150;-10;9.848857802;1.169839847
150;-10;10;1.187792403
150;-10;9.433981132;1.120561112
150;-10;9.433981132;1.120561112
150;-10;10;1.187792403
150;-10;9.899494937;1.175854488
150;-10;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;9.899494937;1.175854488
150;-10;10;1.187792403
150;-10;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;10;1.187792403
150;-10;9.433981132;1.120561112
150;-10;9.433981132;1.120561112
150;-10;9.848857802;1.169839847
150;-10;9.848857802;1.169839847
150;-10;9.486832981;1.126838814
155.6648;97.7657;9.486832981;1.126838814
266.893;68.1525;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
263.0886;61.1314;9.055385138;1.075591767
150;-10;9.055385138;1.075591767
144.7378;82.8211;10;1.187792403
150;-10;10;1.187792403
163.0653;53.693;9.055385138;1.075591767
150;-10;9.055385138;1.075591767
150;-10;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;9.486832981;1.126838814
150;-10;9.486832981;1.126838814
150;-10;9.848857802;1.169839847
150;-10;9.848857802;1.169839847
178.5282;64.6134;9.433981132;1.120561112
150;-10;9.433981132;1.120561112
249.0552;69.5222;10;1.187792403
220.935;49.3862;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;10;1.187792403
154.6036;49.3876;9.899494937;1.175854488
147.8263;50.1642;9.219544457;1.095090487
150;-10;9.219544457;1.095090487
150;-10;9.899494937;1.175854488
150;-10;10;1.187792403
150;-10;9.433981132;1.120561112
150;-10;9.433981132;1.120561112
150;-10;10;1.187792403
113.4582;54.3313;9.848857802;1.169839847
106.5685;47.8457;9.486832981;1.126838814
136.75;45.277;9.219544457;1.095090487
150;-10;9.055385138;1.075591767
150;-10;9.055385138;1.075591767
150;-10;9.219544457;1.095090487
150;-10;9.486832981;1.126838814
150;-10;9.848857802;1.169839847
150;-10;10;1.187792403
150;-10;11;1.306571643
150;-10;10.77032961;1.279291569
164.1706;63.9782;10.44030651;1.240091676
150;-10;10.19803903;1.211315328
150;-10;10.04987562;1.193716591
150;-10;10.04987562;1.193716591
150;-10;10.19803903;1.211315328
150;-10;10.44030651;1.240091676
150;-10;10.77032961;1.279291569
150;-10;10.81665383;1.284793924
150;-10;10.29563014;1.222907127
150;-10;10.29563014;1.222907127
150;-10;10.81665383;1.284793924
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.81665383;1.284793924
150;-10;10.81665383;1.284793924
150;-10;10.29563014;1.222907127
150;-10;10.29563014;1.222907127
150;-10;10.77032961;1.279291569
150;-10;10.77032961;1.279291569
150;-10;10.44030651;1.240091676
150;-10;10.44030651;1.240091676
214.4702;88.7677;10.19803903;1.211315328
150;-10;10.19803903;1.211315328
150;-10;10.04987562;1.193716591
150;-10;10.04987562;1.193716591
150.4365;87.7183;11;1.306571643
150;-10;11;1.306571643
91.3059;78.3304;10.04987562;1.193716591
150;-10;10.04987562;1.193716591
150;-10;10.19803903;1.211315328
150;-10;10.19803903;1.211315328
97.8171;50.9866;10.44030651;1.240091676
150;-10;10.44030651;1.240091676
115.0137;47.0606;10.77032961;1.279291569
150;-10;10.77032961;1.279291569
205.1507;62.5814;10.29563014;1.222907127
150;-10;10.29563014;1.222907127
205.3814;73.2054;10.81665383;1.284793924
150;-10;10.81665383;1.284793924
85.4792;73.3366;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.63014581;1.262640644
150;-10;10.81665383;1.284793924
150;-10;10.29563014;1.222907127
150;-10;10.29563014;1.222907127
150;-10;10.81665383;1.284793924
226;-1;10.77032961;1.279291569
252.0378;-1;10.44030651;1.240091676
150;-10;10.19803903;1.211315328
150;-10;10.04987562;1.193716591
150;-10;10.04987562;1.193716591
150;-10;10.19803903;1.211315328
150;-10;10.44030651;1.240091676
150;-10;10.77032961;1.279291569
150;-10;11;1.306571643
150;-10;12;1.425350884
150;-10;11.70469991;1.390275363
150;-10;11.40175425;1.354291708
150;-10;11.18033989;1.327992278
150;-10;11.04536102;1.31195959
150;-10;11.04536102;1.31195959
150;-10;11.18033989;1.327992278
150;-10;11.40175425;1.354291708
150;-10;11.70469991;1.390275363
150;-10;11.66190379;1.385192073
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
150;-10;11.66190379;1.385192073
150;-10;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
150;-10;11.3137085;1.3438337
150;-10;11.3137085;1.3438337
150;-10;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
150;-10;11.66190379;1.385192073
150;-10;11.66190379;1.385192073
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
150;-10;11.70469991;1.390275363
150;-10;11.70469991;1.390275363
150;-10;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
178.0991;76.9917;11.04536102;1.31195959
150;-10;11.04536102;1.31195959
150;-10;12;1.425350884
150;-10;12;1.425350884
150;-10;11.04536102;1.31195959
150;-10;11.04536102;1.31195959
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
266.8753;-1;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
367.2597;-1;11.70469991;1.390275363
150;-10;11.70469991;1.390275363
166.5264;55.3736;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
202.4994;61.4683;11.66190379;1.385192073
150;-10;11.66190379;1.385192073
187.8612;73.9323;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
155.3949;105.1852;11.3137085;1.3438337
150;-10;11.3137085;1.3438337
150;-10;11.40175425;1.354291708
150;-10;11.40175425;1.354291708
150;-10;11.66190379;1.385192073
150;-10;11.18033989;1.327992278
150;-10;11.18033989;1.327992278
150;-10;11.66190379;1.385192073
110;-1;11.70469991;1.390275363
150;-10;11.40175425;1.354291708
150;-10;11.18033989;1.327992278
150;-10;11.04536102;1.31195959
240.0401;90.6996;11.04536102;1.31195959
150;-10;11.18033989;1.327992278
150;-10;11.40175425;1.354291708
150;-10;11.70469991;1.390275363
123.7422;63.1438;12;1.425350884
150;-10;13;1.544130124
150;-10;13;1.544130124
150;-10;12.64911064;1.502451752
150;-10;12.36931688;1.469218062
150;-10;12.16552506;1.445011825
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.16552506;1.445011825
150;-10;12.36931688;1.469218062
150;-10;12.64911064;1.502451752
150;-10;13;1.544130124
150;-10;12.52996409;1.488299615
150;-10;12.08304597;1.435215021
150;-10;12.08304597;1.435215021
150;-10;12.52996409;1.488299615
150;-10;12.80624847;1.521116465
150;-10;12.20655562;1.449885403
150;-10;12.20655562;1.449885403
150;-10;12.80624847;1.521116465
150;-10;12.72792206;1.511812913
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
148.6428;88.2565;12.72792206;1.511812913
150;-10;12.80624847;1.521116465
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.80624847;1.521116465
150;-10;12.20655562;1.449885403
150;-10;12.20655562;1.449885403
150;-10;12.52996409;1.488299615
150;-10;12.52996409;1.488299615
150;-10;13;1.544130124
150;-10;12.08304597;1.435215021
150;-10;12.08304597;1.435215021
150;-10;13;1.544130124
150;-10;12.64911064;1.502451752
150;-10;12.64911064;1.502451752
150;-10;12.36931688;1.469218062
150;-10;12.36931688;1.469218062
150;-10;12.16552506;1.445011825
150;-10;12.16552506;1.445011825
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;13;1.544130124
150;-10;13;1.544130124
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.16552506;1.445011825
150;-10;12.16552506;1.445011825
150;-10;12.36931688;1.469218062
150;-10;12.36931688;1.469218062
226;-1;12.64911064;1.502451752
150;-10;12.64911064;1.502451752
150;-10;13;1.544130124
103.5003;-1;12.08304597;1.435215021
150;-10;12.08304597;1.435215021
150;-10;13;1.544130124
227.7309;62.4628;12.52996409;1.488299615
150;-10;12.52996409;1.488299615
250.6487;68.7703;12.20655562;1.449885403
150;-10;12.20655562;1.449885403
368.7462;79.6816;12.80624847;1.521116465
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.80624847;1.521116465
150;-10;12.72792206;1.511812913
150;-10;12.04159458;1.430291456
150;-10;12.04159458;1.430291456
150;-10;12.72792206;1.511812913
150;-10;12.80624847;1.521116465
150;-10;12.20655562;1.449885403
150;-10;12.20655562;1.449885403
150;-10;12.80624847;1.521116465
342.297;-1;12.52996409;1.488299615
150;-10;12.08304597;1.435215021
150;-10;12.08304597;1.435215021
150;-10;12.52996409;1.488299615
150;-10;13;1.544130124
101.691;97.6105;12.64911064;1.502451752
81.0979;71.8555;12.36931688;1.469218062
150;-10;12.16552506;1.445011825
109.4474;62.1857;12.04159458;1.430291456
212.5711;77.8304;12.04159458;1.430291456
150;-10;12.16552506;1.445011825
150;-10;12.36931688;1.469218062
150;-10;12.64911064;1.502451752
150;-10;13;1.544130124
150;-10;13;1.544130124
150;-10;14;1.662909364
150;-10;13.92838828;1.654403378
150;-10;13.60147051;1.615572334
150;-10;13.34166406;1.584712722
150;-10;13.15294644;1.562296986
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.15294644;1.562296986
150;-10;13.34166406;1.584712722
150;-10;13.60147051;1.615572334
150;-10;13.92838828;1.654403378
150;-10;13.89244399;1.650133943
150;-10;13.41640786;1.593590734
150;-10;13.41640786;1.593590734
150;-10;13.89244399;1.650133943
150;-10;13.60147051;1.615572334
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.60147051;1.615572334
150;-10;13.45362405;1.598011244
172.7115;100.6847;13.45362405;1.598011244
150;-10;13.45362405;1.598011244
188;-1;13.45362405;1.598011244
150;-10;13.60147051;1.615572334
150;-10;13.60147051;1.615572334
150;-10;13.89244399;1.650133943
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.89244399;1.650133943
150;-10;13.41640786;1.593590734
150;-10;13.41640786;1.593590734
150;-10;13.92838828;1.654403378
150;-10;13.92838828;1.654403378
150;-10;13.60147051;1.615572334
150;-10;13.60147051;1.615572334
150;-10;13.34166406;1.584712722
150;-10;13.34166406;1.584712722
150;-10;13.15294644;1.562296986
150;-10;13.15294644;1.562296986
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;14;1.662909364
150;-10;14;1.662909364
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.15294644;1.562296986
150;-10;13.15294644;1.562296986
150;-10;13.34166406;1.584712722
150;-10;13.34166406;1.584712722
150;-10;13.60147051;1.615572334
150;-10;13.60147051;1.615572334
150;-10;13.92838828;1.654403378
150;-10;13.92838828;1.654403378
150;-10;13.41640786;1.593590734
150;-10;13.41640786;1.593590734
315.2892;-1;13.89244399;1.650133943
206.7924;61.5102;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.89244399;1.650133943
259.7889;62.7051;13.60147051;1.615572334
150;-10;13.60147051;1.615572334
150;-10;13.45362405;1.598011244
150;-10;13.45362405;1.598011244
150;-10;13.45362405;1.598011244
150;-10;13.45362405;1.598011244
150;-10;13.60147051;1.615572334
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.60147051;1.615572334
150;-10;13.89244399;1.650133943
150;-10;13.41640786;1.593590734
150;-10;13.41640786;1.593590734
150;-10;13.89244399;1.650133943
150;-10;13.92838828;1.654403378
150;-10;13.60147051;1.615572334
115.5587;72.9286;13.34166406;1.584712722
150;-10;13.15294644;1.562296986
150;-10;13.03840481;1.548691818
150;-10;13.03840481;1.548691818
150;-10;13.15294644;1.562296986
150;-10;13.34166406;1.584712722
150;-10;13.60147051;1.615572334
150;-10;13.92838828;1.654403378
150;-10;14;1.662909364
150;-10;15;1.781688604
150;-10;14.86606875;1.765780352
150;-10;14.56021978;1.729451844
150;-10;14.31782106;1.700659909
150;-10;14.14213562;1.679792126
150;-10;14.03566885;1.667146083
150;-10;14.03566885;1.667146083
150;-10;14.14213562;1.679792126
150;-10;14.31782106;1.700659909
150;-10;14.56021978;1.729451844
150;-10;14.86606875;1.765780352
150;-10;14.76482306;1.753754466
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.76482306;1.753754466
150;-10;15;1.781688604
150;-10;14.4222051;1.713058565
150;-10;14.4222051;1.713058565
150;-10;15;1.781688604
150;-10;14.86606875;1.765780352
315.0652;135.8756;14.2126704;1.688170193
150;-10;14.2126704;1.688170193
438.8503;259.4207;14.86606875;1.765780352
150;-10;14.86606875;1.765780352
150;-10;14.14213562;1.679792126
314.8123;138.6852;14.14213562;1.679792126
150;-10;14.86606875;1.765780352
150;-10;15;1.781688604
150;-10;14.2126704;1.688170193
150;-10;14.2126704;1.688170193
150;-10;15;1.781688604
150;-10;14.4222051;1.713058565
150;-10;14.4222051;1.713058565
150;-10;14.76482306;1.753754466
150;-10;14.76482306;1.753754466
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.86606875;1.765780352
150;-10;14.86606875;1.765780352
150;-10;14.56021978;1.729451844
150;-10;14.56021978;1.729451844
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.14213562;1.679792126
150;-10;14.14213562;1.679792126
150;-10;14.03566885;1.667146083
150;-10;14.03566885;1.667146083
150;-10;15;1.781688604
150;-10;15;1.781688604
150;-10;14.03566885;1.667146083
150;-10;14.03566885;1.667146083
150;-10;14.14213562;1.679792126
150;-10;14.14213562;1.679792126
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.56021978;1.729451844
150;-10;14.56021978;1.729451844
150;-10;14.86606875;1.765780352
150;-10;14.86606875;1.765780352
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
297.4161;-1;14.76482306;1.753754466
150;-10;14.76482306;1.753754466
172.505;59.4903;14.4222051;1.713058565
150;-10;14.4222051;1.713058565
238.6135;65.2831;15;1.781688604
340.9298;83.9534;14.2126704;1.688170193
150;-10;14.2126704;1.688170193
150;-10;15;1.781688604
150;-10;14.86606875;1.765780352
150;-10;14.14213562;1.679792126
150;-10;14.14213562;1.679792126
150;-10;14.86606875;1.765780352
150;-10;14.86606875;1.765780352
150;-10;14.2126704;1.688170193
150;-10;14.2126704;1.688170193
150;-10;14.86606875;1.765780352
150;-10;15;1.781688604
150;-10;14.4222051;1.713058565
150;-10;14.4222051;1.713058565
150;-10;15;1.781688604
150;-10;14.76482306;1.753754466
150;-10;14.31782106;1.700659909
150;-10;14.31782106;1.700659909
150;-10;14.76482306;1.753754466
150;-10;14.86606875;1.765780352
150;-10;14.56021978;1.729451844
150;-10;14.31782106;1.700659909
150;-10;14.14213562;1.679792126
150;-10;14.03566885;1.667146083
117.141;70.4649;14.03566885;1.667146083
164.0072;63.6824;14.14213562;1.679792126
252.8596;99.4953;14.31782106;1.700659909
402.8157;254.1429;14.56021978;1.729451844
150;-10;14.86606875;1.765780352
150;-10;15;1.781688604